[2023-10-10 19:37:41.145] Opened database successfully
[2023-10-10 19:37:41.227] Table ANALOGS created successfully
[2023-10-10 19:37:41.253] Table BINARIES created successfully
[2023-10-10 19:37:54.001] Signal 3: 2
[2023-10-10 19:37:54.002] Signal 4: 0
[2023-10-10 19:37:54.002] Signal 5: 1080
[2023-10-10 19:37:54.003] Signal 6: 0
[2023-10-10 19:37:54.003] Signal 7: 60673
[2023-10-10 19:37:54.004] Signal 8: 16383
[2023-10-10 19:37:54.004] Signal 9: 50
[2023-10-10 19:37:55.000] Signal 0: 26
[2023-10-10 19:37:55.000] Signal 1: 0
[2023-10-10 19:37:55.001] Signal 2: 0
[2023-10-10 19:37:55.001] Signal 3: 2
[2023-10-10 19:37:55.002] Signal 4: 0
[2023-10-10 19:37:55.002] Signal 5: 1080
[2023-10-10 19:37:55.003] Signal 6: 0
[2023-10-10 19:37:55.003] Signal 7: 60673
[2023-10-10 19:37:55.004] Signal 8: 16383
[2023-10-10 19:37:55.004] Signal 9: 50
[2023-10-10 19:37:56.000] Signal 0: 26
[2023-10-10 19:37:56.000] Signal 1: 0
[2023-10-10 19:37:56.001] Signal 2: 0
[2023-10-10 19:37:56.002] Signal 3: 2
[2023-10-10 19:37:56.002] Signal 4: 0
[2023-10-10 19:37:56.003] Signal 5: 1080
[2023-10-10 19:37:56.003] Signal 6: 0
[2023-10-10 19:37:56.004] Signal 7: 60673
[2023-10-10 19:37:56.004] Signal 8: 16383
[2023-10-10 19:37:56.005] Signal 9: 50
[2023-10-10 19:37:57.000] Signal 0: 26
[2023-10-10 19:37:57.000] Signal 1: 0
[2023-10-10 19:37:57.001] Signal 2: 0
[2023-10-10 19:37:57.001] Signal 3: 2
[2023-10-10 19:37:57.002] Signal 4: 0
[2023-10-10 19:37:57.002] Signal 5: 1080
[2023-10-10 19:37:57.003] Signal 6: 0
[2023-10-10 19:37:57.003] Signal 7: 60673
[2023-10-10 19:37:57.004] Signal 8: 16383
[2023-10-10 19:37:57.004] Signal 9: 50
[2023-10-10 19:37:58.000] Signal 0: 26
[2023-10-10 19:37:58.000] Signal 1: 0
[2023-10-10 19:37:58.001] Signal 2: 0
[2023-10-10 19:37:58.001] Signal 3: 2
[2023-10-10 19:37:58.002] Signal 4: 0
[2023-10-10 19:37:58.002] Signal 5: 1080
[2023-10-10 19:37:58.003] Signal 6: 0
[2023-10-10 19:37:58.003] Signal 7: 60673
[2023-10-10 19:37:58.004] Signal 8: 16383
[2023-10-10 19:37:58.005] Signal 9: 50
[2023-10-10 19:37:59.000] Signal 0: 26
[2023-10-10 19:37:59.000] Signal 1: 0
[2023-10-10 19:37:59.001] Signal 2: 0
[2023-10-10 19:37:59.001] Signal 3: 2
[2023-10-10 19:37:59.002] Signal 4: 0
[2023-10-10 19:37:59.003] Signal 5: 1080
[2023-10-10 19:37:59.004] Signal 6: 0
[2023-10-10 19:37:59.004] Signal 7: 60673
[2023-10-10 19:37:59.004] Signal 8: 16383
[2023-10-10 19:37:59.005] Signal 9: 50
[2023-10-10 19:38:00.000] Signal 0: 26
[2023-10-10 19:38:00.001] Signal 1: 0
[2023-10-10 19:38:00.002] Signal 2: 0
[2023-10-10 19:38:00.003] Signal 3: 2
[2023-10-10 19:38:00.004] Signal 4: 0
[2023-10-10 19:38:00.005] Signal 5: 1080
[2023-10-10 19:38:00.006] Signal 6: 0
[2023-10-10 19:38:00.006] Signal 7: 60673
[2023-10-10 19:38:00.007] Signal 8: 16383
[2023-10-10 19:38:00.008] Signal 9: 50
[2023-10-10 19:38:01.000] Signal 0: 26
[2023-10-10 19:38:01.000] Signal 1: 0
[2023-10-10 19:38:01.001] Signal 2: 0
[2023-10-10 19:38:01.002] Signal 3: 2
[2023-10-10 19:38:01.003] Signal 4: 0
[2023-10-10 19:38:01.003] Signal 5: 1080
[2023-10-10 19:38:01.004] Signal 6: 0
[2023-10-10 19:38:01.005] Signal 7: 60673
[2023-10-10 19:38:01.005] Signal 8: 16383
